"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\App.tsx", "TypeScript JSX", 0, 154, 0, 0, 0, 5, 159
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\common\BookCover.tsx", "TypeScript JSX", 0, 118, 0, 0, 0, 11, 129
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\common\ErrorBoundary.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 8, 42
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\common\Layout.tsx", "TypeScript JSX", 0, 129, 0, 0, 0, 11, 140
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\common\MapSkeleton.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 1, 11
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\common\ParticlesBackground.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 11, 74
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\common\SearchBar.tsx", "TypeScript JSX", 0, 56, 0, 0, 0, 3, 59
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\common\SideDrawer.tsx", "TypeScript JSX", 0, 94, 0, 0, 0, 12, 106
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\common\SplitPane.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 9, 70
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\common\icons.tsx", "TypeScript JSX", 0, 171, 0, 0, 0, 16, 187
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\common\index.ts", "TypeScript", 7, 0, 0, 0, 0, 1, 8
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\detail\BookPanel.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 10, 38
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\detail\CharacterDetailModal.tsx", "TypeScript JSX", 0, 302, 0, 0, 0, 24, 326
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\detail\CharacterPanel.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 10, 67
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\detail\CharacterRelationships.tsx", "TypeScript JSX", 0, 165, 0, 0, 0, 14, 179
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\detail\FamilyTreeView.tsx", "TypeScript JSX", 0, 295, 0, 0, 0, 27, 322
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\detail\ForceGraph.tsx", "TypeScript JSX", 0, 309, 0, 0, 0, 27, 336
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\detail\PlanetDetailPanel.tsx", "TypeScript JSX", 0, 175, 0, 0, 0, 12, 187
